title;author;rating;votes;url;page
"Валерия Шаталова — Год черной тыквы";"";"";"";"https://fantasy-worlds.org/lib/id38834/";"4"
"Скотт Рэнкин — Шепот в стенах";"";"";"";"https://fantasy-worlds.org/lib/id38833/";"4"
"Кристина Миляева — Академия «Терем»";"";"";"";"https://fantasy-worlds.org/lib/id38832/";"4"
"Эйрин Фаррон — Темное наследие";"";"";"";"https://fantasy-worlds.org/lib/id38831/";"4"
"Лана Ежова — Падший и Святая";"";"";"";"https://fantasy-worlds.org/lib/id38830/";"4"
"Ольга Богатикова — Кошачий глаз в волшебный час";"";"";"";"https://fantasy-worlds.org/lib/id38829/";"4"
"Ангелина Шэн — Пока не погаснет последний фонарь. Том 4";"";"";"";"https://fantasy-worlds.org/lib/id38828/";"4"
"Дэн Симмонс — Утеха падали (перевод Александра Корженевского)";"";"";"";"https://fantasy-worlds.org/lib/id38827/";"4"
"Лидия Мельнечук — Терра Инкогнита: Технохаос";"";"";"";"https://fantasy-worlds.org/lib/id38826/";"4"
"Глеб Лютаев — Жертва";"";"";"";"https://fantasy-worlds.org/lib/id38825/";"4"
"Игорь Дравин — Чужак: Ученик. Охотник. Барон (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38824/";"4"
"Андрей Белянин — Профессиональный оборотень. Каникулы оборотней. Хроники оборотней (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38823/";"4"
"Мишель Бернанос — Мертвая гора жизни";"";"";"";"https://fantasy-worlds.org/lib/id38822/";"4"
"Жанна Пояркова — Дети Лезвия";"";"";"";"https://fantasy-worlds.org/lib/id38821/";"4"
"Наталия Фишер — Пятая река";"";"";"";"https://fantasy-worlds.org/lib/id38820/";"4"
"Коллектив авторов — Навьи пляски (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38864/";"2"
"Джин Фукадзава — Фантазм";"";"";"";"https://fantasy-worlds.org/lib/id38863/";"2"
"Чхэ Чжиху — Первым делом спрячем моего младшего брата. Том 1";"";"";"";"https://fantasy-worlds.org/lib/id38862/";"2"
"Сода Айс — Берегись этой чертовки! Том 1";"";"";"";"https://fantasy-worlds.org/lib/id38861/";"2"
"Алёна Селютина — А леса у нас тихие";"";"";"";"https://fantasy-worlds.org/lib/id38860/";"2"
"Джозеф Шеридан Ле Фаню — Желание покоя";"";"";"";"https://fantasy-worlds.org/lib/id38859/";"2"
"Екатерина Звонцова — Отравленные земли";"";"";"";"https://fantasy-worlds.org/lib/id38858/";"2"
"Дженнифер Торн — Диавола";"";"";"";"https://fantasy-worlds.org/lib/id38857/";"2"
"Надя Сова — Сновичи";"";"";"";"https://fantasy-worlds.org/lib/id38856/";"2"
"Надя Сова — Сквозь туман меня не видно";"";"";"";"https://fantasy-worlds.org/lib/id38855/";"2"
"Softcoral — Стань светом в темном море. Том 2";"";"";"";"https://fantasy-worlds.org/lib/id38854/";"2"
"Александра Рябова — Да хранят тебя боги";"";"";"";"https://fantasy-worlds.org/lib/id38853/";"2"
"Дарья Раскина — Мир и потусторонняя война";"";"";"";"https://fantasy-worlds.org/lib/id38852/";"2"
"Клэр Ошецки — Совушка";"";"";"";"https://fantasy-worlds.org/lib/id38851/";"2"
"Моргана Маро — Цветы пиона на снегу. Том 5 (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38850/";"2"
"Анни Юдзуль — Невидимые беды";"";"";"";"https://fantasy-worlds.org/lib/id38879/";"1"
"Ло Ян — Падение клана Шэ. Том 1";"";"";"";"https://fantasy-worlds.org/lib/id38878/";"1"
"Ева Вольская — Такси чужих историй";"";"";"";"https://fantasy-worlds.org/lib/id38877/";"1"
"Юй Сы — В черной краске становишься черным. Том 1";"";"";"";"https://fantasy-worlds.org/lib/id38876/";"1"
"Таль Сэуль — Словно ветер среди иссохших ветвей. Книга 2";"";"";"";"https://fantasy-worlds.org/lib/id38875/";"1"
"Екатерина Стрингель — Черная Панна";"";"";"";"https://fantasy-worlds.org/lib/id38874/";"1"
"Михаил Шетько — Объятия Лучезарного (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38873/";"1"
"Хёнсук Пак — Воплощение желаний";"";"";"";"https://fantasy-worlds.org/lib/id38872/";"1"
"Юлия Каплина — Вещий город";"";"";"";"https://fantasy-worlds.org/lib/id38871/";"1"
"Екатерина Кокшарова — Зов Медной горы";"";"";"";"https://fantasy-worlds.org/lib/id38870/";"1"
"Айла Дэйвон — Черный клинок";"";"";"";"https://fantasy-worlds.org/lib/id38869/";"1"
"Александра Черчень — Погадай на жениха, ведьма!";"";"";"";"https://fantasy-worlds.org/lib/id38868/";"1"
"Александра Черчень — Моя прекрасная нечисть";"";"";"";"https://fantasy-worlds.org/lib/id38867/";"1"
"Софи Ларош — Только не читайте эту книгу!";"";"";"";"https://fantasy-worlds.org/lib/id38866/";"1"
"Андрей Никонов — Беглец";"";"";"";"https://fantasy-worlds.org/lib/id38865/";"1"
"Кейси Блэр — Чайный бунт";"";"";"";"https://fantasy-worlds.org/lib/id38819/";"5"
"Мэлори Блэкмен — Шах и мат";"";"";"";"https://fantasy-worlds.org/lib/id38818/";"5"
"T. Эйдж — Песнь Первого клинка";"";"";"";"https://fantasy-worlds.org/lib/id38817/";"5"
"Энгус Уотсон — Умрешь, когда умрешь";"";"";"";"https://fantasy-worlds.org/lib/id38816/";"5"
"Келси Шеридан Гонсалез — Боги, забытые временем";"";"";"";"https://fantasy-worlds.org/lib/id38815/";"5"
"Хелен Мерелль — Рассвет и лед";"";"";"";"https://fantasy-worlds.org/lib/id38814/";"5"
"Салман Рушди — Гримус";"";"";"";"https://fantasy-worlds.org/lib/id38813/";"5"
"Кристофер Фрейлинг — Вампиры. Происхождение и воскрешение. От фольклора до графа Дракулы";"";"";"";"https://fantasy-worlds.org/lib/id38812/";"5"
"Эбигейл Дин — Девушка А";"";"";"";"https://fantasy-worlds.org/lib/id38811/";"5"
"Кори  Доктороу — Площадь атаки";"";"";"";"https://fantasy-worlds.org/lib/id38810/";"5"
"Франческа Заппиа — Греймист Фейр. Дом для Смерти";"";"";"";"https://fantasy-worlds.org/lib/id38809/";"5"
"Татьяна Мастрюкова — Нежили-небыли";"";"";"";"https://fantasy-worlds.org/lib/id38808/";"5"
"М. Казнир — На морозную звезду";"";"";"";"https://fantasy-worlds.org/lib/id38807/";"5"
"Алена Ивлева — Солнечный свет";"";"";"";"https://fantasy-worlds.org/lib/id38806/";"5"
"Коллектив авторов — Заклятья метели. Колядки других миров (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38805/";"5"
"Софи Ким — Ставка на месть";"";"";"";"https://fantasy-worlds.org/lib/id38849/";"3"
"Шарлотта Гилман — Желтые обои. Женландия (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38848/";"3"
"Сьюзан Деннард — Колдун ветра";"";"";"";"https://fantasy-worlds.org/lib/id38847/";"3"
"Сьюзан Деннард — Испытание молчанием";"";"";"";"https://fantasy-worlds.org/lib/id38846/";"3"
"Таня Свон — Культ пустоши";"";"";"";"https://fantasy-worlds.org/lib/id38845/";"3"
"Рико Сакураи — Крылья бабочки";"";"";"";"https://fantasy-worlds.org/lib/id38844/";"3"
"Эмма Нойес — Душа тьмы";"";"";"";"https://fantasy-worlds.org/lib/id38843/";"3"
"Полина Щербак — Пожираюший";"";"";"";"https://fantasy-worlds.org/lib/id38842/";"3"
"Анастасия Шанскакя — У кота была собака";"";"";"";"https://fantasy-worlds.org/lib/id38841/";"3"
